,Name,Ranks,Points,PrevPoints,RankChange,CurrentYear_Avg,CurrentYear_WtAvg,Year1_Avg,Year1_WtAvg,Year2_Avg,Year2_WtAvg,Year3_Avg,Year3_WtAvg
81,Haiti,82,0(0),492,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
82,New Zealand,83,0(0),477,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
83,Estonia,84,0(0),477,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
84,Belarus,85,0(0),474,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
85,El Salvador,86,0(0),468,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
86,Indonesia,87,0(0),467,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
87,FYR Macedonia,88,0(0),464,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
88,Northern Ireland,89,0(0),465,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
89,Oman,90,0(0),462,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
90,Syria,91,0(0),464,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
91,Albania,92,0(0),448,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
92,Canada,93,0(0),458,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
93,Lebanon,94,0(0),455,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
94,Congo,95,0(0),454,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
95,Armenia,96,0(0),449,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
96,Lithuania,97,0(0),447,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
97,Jordan,98,0(0),442,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
98,Kazakhstan,99,0(0),442,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
99,Wales,100,0(0),441,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100,Gabon,101,0(0),438,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
101,Namibia,102,0(0),440,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
102,Moldova,103,0(0),437,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
103,Kenya,104,0(0),437,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
104,Latvia,105,0(0),428,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
105,Vietnam,106,0(0),430,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
106,Barbados,107,0(0),421,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
107,Mali,108,0(0),391,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
108,Guinea,109,0(0),413,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
109,Bahrain,110,0(0),400,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
110,Panama,111,0(0),400,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
111,Malaysia,112,0(0),397,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
112,Azerbaijan,113,0(0),390,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
113,Turkmenistan,114,0(0),390,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
114,Singapore,115,0(0),387,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
115,Libya,116,0(0),384,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
116,Uganda,117,0(0),369,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
117,Faroe Islands,118,0(0),374,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
118,Sudan,119,0(0),373,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
119,Malawi,120,0(0),365,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
120,India,121,0(0),362,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
121,Madagascar,122,0(0),361,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
122,Fiji,123,0(0),349,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
123,Mauritius,124,0(0),344,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
124,Burundi,125,0(0),290,14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
125,St Vincent and the Grenadines,126,0(0),337,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
126,Tahiti,127,0(0),336,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
127,Mozambique,128,0(0),334,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
128,St Kitts and Nevis,129,0(0),329,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
129,St Lucia,130,0(0),327,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
130,Malta,131,0(0),325,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
131,Rwanda,132,0(0),255,12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
132,Swaziland,133,0(0),323,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
133,Lesotho,134,0(0),336,-8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
134,Grenada,135,0(0),312,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
135,Solomon Islands,136,0(0),309,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
